name	archive_member	nm_type	binding	value	size
_Exit	_Exit.lo	T	GLOBAL	0	20
_Fork	_Fork.lo	T	GLOBAL	0	48
_IO_feof_unlocked	feof.lo	W	WEAK	0	48
_IO_ferror_unlocked	ferror.lo	W	WEAK	0	48
_IO_getc	getc.lo	W	WEAK	0	44
_IO_getc_unlocked	getc_unlocked.lo	W	WEAK	0	24
_IO_putc	putc.lo	W	WEAK	0	64
_IO_putc_unlocked	putc_unlocked.lo	W	WEAK	0	40
___environ	__environ.lo	V	WEAK	0	8
___errno_location	__errno_location.lo	W	WEAK	0	c
__abort_lock	abort_lock.lo	B	GLOBAL	0	4
__acquire_ptc	lock_ptc.lo	T	GLOBAL	0	c
__acquire_ptc	pthread_create.lo	W	WEAK	0	4
__aio_atfork	_Fork.lo	W	WEAK	0	4
__aio_atfork	aio.lo	T	GLOBAL	0	e8
__aio_atfork	fork.lo	W	WEAK	0	4
__aio_close	__stdio_close.lo	W	WEAK	0	4
__aio_close	aio.lo	T	GLOBAL	0	34
__aio_close	close.lo	W	WEAK	0	4
__aio_fut	aio.lo	B	GLOBAL	0	4
__aligned_alloc_replaced	replaced.lo	B	GLOBAL	0	4
__asctime_r	asctime_r.lo	T	GLOBAL	0	a4
__assert_fail	assert.lo	T	GLOBAL	0	2c
__at_quick_exit_lockptr	at_quick_exit.lo	D	GLOBAL	0	8
__at_quick_exit_lockptr	fork.lo	V	WEAK	0	8
__atexit_lockptr	atexit.lo	D	GLOBAL	0	8
__atexit_lockptr	fork.lo	V	WEAK	0	8
__block_all_sigs	block.lo	T	GLOBAL	0	20
__block_app_sigs	block.lo	T	GLOBAL	0	20
__bump_lockptr	fork.lo	V	WEAK	0	8
__bump_lockptr	lite_malloc.lo	D	GLOBAL	0	8
__c_dot_utf8	c_locale.lo	D	GLOBAL	0	30
__c_dot_utf8_locale	c_locale.lo	D	GLOBAL	0	30
__c_locale	c_locale.lo	R	GLOBAL	0	30
__cancel	pthread_cancel.lo	T	GLOBAL	0	3c
__clock_gettime	clock_gettime.lo	T	GLOBAL	0	98
__clock_nanosleep	clock_nanosleep.lo	T	GLOBAL	0	6c
__clone	clone.lo	T	GLOBAL	0	-
__convert_scm_timestamps	recvmsg.lo	T	GLOBAL	0	4
__copy_tls	__init_tls.lo	T	GLOBAL	0	a4
__cos	__cos.lo	T	GLOBAL	0	98
__cosdf	__cosdf.lo	T	GLOBAL	0	58
__cosl	__cosl.lo	T	GLOBAL	0	1a8
__cp_begin	syscall_cp.lo	T	GLOBAL	0	-
__cp_cancel	syscall_cp.lo	T	GLOBAL	2c	-
__cp_end	syscall_cp.lo	T	GLOBAL	28	-
__crypt_blowfish	crypt_blowfish.lo	T	GLOBAL	0	1a8
__crypt_des	crypt_des.lo	T	GLOBAL	0	a8
__crypt_md5	crypt_md5.lo	T	GLOBAL	0	6c
__crypt_r	crypt_r.lo	T	GLOBAL	0	8c
__crypt_sha256	crypt_sha256.lo	T	GLOBAL	0	6c
__crypt_sha512	crypt_sha512.lo	T	GLOBAL	0	6c
__ctype_b_loc	__ctype_b_loc.lo	T	GLOBAL	0	c
__ctype_get_mb_cur_max	__ctype_get_mb_cur_max.lo	T	GLOBAL	0	1c
__ctype_tolower_loc	__ctype_tolower_loc.lo	T	GLOBAL	0	c
__ctype_toupper_loc	__ctype_toupper_loc.lo	T	GLOBAL	0	c
